ABC11	ABC-Terminologie des VBS	Terminologie NBC du DDPS	Terminologia NBC del DDPS	ABC Military Terminology DDPS
KHD01	Terminologie der Gesetzgebung über die gefährlichen Hunde	Terminologie législative sur les chiens dangereux	Terminologia legislativa sui cani pericolosi	Terminology of the legislation on dangerous dogs
KLI08	Terminologie des Klimawandels	Terminologie du changement climatique	Terminologia del cambiamento climatico	Climate Change Terminology
KMG05	Terminologie des Kriegsmaterialgesetzes	Terminologie du matériel de guerre	Terminologia sul materiale bellico 	War material terminology
KOM15	Bezeichnungen der parlamentarischen und ausserparlamentarischen Kommissionen	Dénominations des commissions parlementaires et extraparlementaires	Denominazioni delle commissioni parlamentari e extraparlamentari	Names of parliamentary committees and extra-parliamentary commissions
KOM99v	Frühere Bezeichnungen der parlamentarischen und ausserparlamentarischen Kommissionen	Anciennes dénominations des commissions parlementaires et extraparlementaires	Denominazioni precedenti delle commissioni parlamentari e extraparlamentari	Former names of parliamentary committees and extra-parliamentary commissions
KULT15	Terminologie der Kulturbotschaft	Terminologie du Message culture	Terminologie der Kulturbotschaft	Terminologie der Kulturbotschaft
LAU06	Einträge in Bearbeitung (Caroline Laurent - BJ)	Fiches en cours d'élaboration (Caroline Laurent - OFJ)	Schede in corso di elaborazione  (Caroline Laurent - UFG)	Working entries (Caroline Laurent - FOJ)
LCH13v	Titel der Erlasse des schweizerischen Bundesrechts (aufgehoben) 	Titres des actes législatifs du droit fédéral suisse (abrogé)	Titoli degli atti legislativi del diritto federale svizzero (abrogato) 	Titles of Swiss federal legislation (repealed)
LCH18v	Titel der Erlasse des schweiz. Bundesrecht (aufgehoben)	Titres des actes législatifs du droit fédéral suisse (abrogé)	Titoli degli atti legislativi del diritto federale svizzero (abrogato) 	Titles of Swiss federal legislation (repealed)
LCH91	Titel der Erlasse des schweizerischen Bundesrechts (1832 ff.)	Titres des actes législatifs du droit fédéral suisse (1832 ss.)	Titoli degli atti legislativi del diritto federale svizzero (1832 ss.)	Titles of Swiss federal legislation (1832 ff.)
LDA17	Urheberrecht	Droit d'auteur	Diritto d'autore	Copyright
LEG03	Terminologie verschiedener Erlasse	Terminologie de divers actes législatifs	Terminologia di vari atti legislativi	Terminology from miscellaneous laws
LEG05	Terminologie verschiedener Erlasse	Terminologie de divers actes législatifs	Terminologia di vari atti legislativi	Terminology from miscellaneous laws
LEITB16	Terminologie des Leitbilds Bevölkerungsschutz	Terminologie du plan directeur de la protection de la population	Terminologia del concetto direttivo della protezione della popolazione	Terminologie des Leitbilds Bevölkerungsschutz
LESE18	LESE18	LESE18	LESE18	LESE18
LFR12	Abkürzungen der Erlasstitel des Kantons Freiburg	Abréviations des titres des actes législatifs fribourgeois  	Abkürzungen der Erlasstitel des Kantons Freiburg	Abbreviations of titles of legislation from the Canton of Fribourg
LFT95	Terminologie der Gesetzgebung über die Zivilluftfahrt	Terminologie de la législation relative à l'aviation civile	Terminologia legislativa dell'aviazione civile	Terminology of the legislation on civil aviation
LMG04	Terminologie der Gesetzgebung über Lebensmittel und Gebrauchsgegenstände	Terminologie de la législation relative aux denrées alimentaires et aux objets usuels	Terminologia legislativa sulle derrate alimentari e gli oggetti d'uso	Terminology of foodstuffs and utility articles
LMJ01	Spielbankenterminologie	Terminologie des maisons de jeux	Terminologia delle case da gioco	EN: Spielbankenterminologie
LOICH17	Titel der Erlasse des schweizerischen Bundesrechts	Titres des actes législatifs du droit fédéral suisse	Titoli degli atti legislativi del diritto federale svizzero	Titles of Swiss federal legislation
LPA02	 Terminologie des Verwaltungsverfahrens	Terminologie de la procédure administrative	Terminologia della procedura amministrativa	Administrative procedure terminology
LPF15	Rechtswörterbuch Piccard/Thilo/Steiner, Schuldbetreibungs- und Konkursrecht	Dictionnaire juridique Piccard-Thilo-Steiner, poursuite pour dettes et faillite	Dizionario giuridico Piccard-Thilo-Steiner, esecuzione e fallimento	Legal dictionary Piccard/Thilo/Steiner, Debt Enforcement and Bankruptcy
LWB93	Terminologie der schweizerischen Landwirtschaftsgesetzgebung	Terminologie de la législation agricole suisse	Terminologia della legislazione agraria svizzera	Terminology of Swiss agricultural legislation
LWG11	Terminologie des Landwirtschaftsgesetzes des Kantons Freiburg 	FR: LWG11	Terminologia della Legge sull'agricolutra del Cantone Friburgo	EN: LWG11
MAK12	Einträge in Bearbeitung (K. MacKenzie, Sektion Terminologie der Bundeskanzlei)	Fiches en cours d'élaboration (K. MacKenzie, Section de terminologie de la Chancellerie fédérale)	Schede in corso di elaborazione (K. MacKenzie, Sezione di terminologia della Cancelleria federale)	Working entries (K. MacKenzie, Terminology Section of the Federal Chancellery)
MAR05	Einträge in Bearbeitung (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)
MAR06	Einträge in Bearbeitung (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)
MAR12	Einträge in Bearbeitung (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)	Fiches en cours d'élaboration (Christine Martin, BASPO)
MDS00	Sammlung der TERMDAT-BenutzerInnen der Bundesverwaltung (ohne VBS)	Collection des utilisateurs TERMDAT de l'Administration fédérale (sauf DDPS)	Collezione degli utenti TERMDAT dell'Amministrazione federale (senza DDPS)	Collection of TERMDAT users in the Federal Administration (excl. DDPS)
MDS06	Sammlung der TERMDAT-BenutzerInnen der Bundesverwaltung	Collection des utilisateurs TERMDAT de l'Administration fédérale	Collezione degli utenti TERMDAT dell'Amministrazione federale	Collection of TERMDAT users in the Federal Administration
MDS09	Sammlung der TERMDAT-BenutzerInnen der Bundesverwaltung	Collection des utilisateurs TERMDAT de l'Administration fédérale	Collezione degli utenti TERMDAT dell'Amministrazione federale	Collection of TERMDAT users in the Federal Administration
MEC13	Einträge in Bearbeitung (C. Messina, Sektion Terminologie der Bundeskanzlei)	Fiches en cours d'élaboration (C. Messina, Section de terminologie de la Chancellerie fédérale)	Schede in corso di elaborazione (C. Messina, Sezione di terminologia della Cancelleria federale)	Working entries (C. Messina, Terminology Section of the Federal Chancellery)
MEI05	Einträge in Bearbeitung (E. Meier, Sektion Terminologie der Bundeskanzlei)	Fiches en cours d'élaboration (E. Meier, Section de terminologie de la Chancellerie fédérale)	Schede in corso di elaborazione (E. Meier, Sezione di terminologia della Cancelleria federale)	Working entries (E. Meier, Terminology Section of the Federal Chancellery)
MES08	Einträge in Bearbeitung (Sektion Terminologie der Bundeskanzlei)	Fiches en cours d'élaboration (Section de terminologie de la Chancellerie fédérale)	Schede in corso di elaborazione (Sezione di terminologia della Cancelleria federale)	Working entries (Terminology Section of the Federal Chancellery)
MET16	Terminologie der Metrologie	Terminologie de la métrologie	Terminologia della metrologia	Terminology of Metrology
METE14	Terminologie der Meteorologie	Terminologie de la météorologie	Terminologia della meteorologia	Terminology of Meteorology
MIET17	Terminologie des Mietrechts	Terminologie du contrat de bail	Terminologia del contratto di locazione	Terminology of tenancy law
MIG10	Terminologie des Bundesamtes für Migration	Terminologie de l'Office fédéral des migrations	Terminologia dell'Ufficio federale della migrazione	Terminology of the Federal Office for Migration
MIS07	Miszellen: Einträge unterschiedlicher Thematik aus der Amtlichen Sammlung	Terminologie ponctuelle extraite du Recueil officiel des lois fédérales	Miscellanea: termini vari provenienti dalla Raccolta ufficiale delle leggi federali	Miscellaneous entries on various topics from the Official Compilation
MIS08	Miszellen: Einträge unterschiedlicher Thematik aus Pressemitteilungen	Terminologie ponctuelle extraite des communiqués de presse	Miscellanea: termini vari provenienti da comunicati stampa	Miscellaneous entries on various topics from press releases
MIS13	Miszellen: Terminologie-Monitoring	Terminologie ponctuelle: Veille terminologique	Miscellanea: Osservatorio terminologico	Terminology monitoring
MIS90	Miszellen: Einträge unterschiedlicher Thematik	Terminologie ponctuelle	Miscellanea: schede concernenti argomenti vari	Miscellaneous eintries on various themes
MOF06	Terminologie der schweizerischen amtlichen Vermessung	Terminologie de la mensuration officielle suisse	Terminologia della misurazione ufficiale svizzera	Terminology of the Swiss official cadastral surveying
MOF98	Terminologie der schweizerischen amtlichen Vermessung	Terminologie de la mensuration officielle suisse	Terminologia della misurazione ufficiale svizzera	Terminology of the Swiss official cadastral surveying
MWS04	Terminologie der Mehrwertsteuer	Terminologie de la taxe sur la valeur ajoutée	Terminologia dell'imposta sul valore aggiunto	EN: Terminologie der Mehrwertsteuer
MWS95	Terminologie der Mehrwertsteuer	Terminologie de la taxe sur la valeur ajoutée	Terminologia dell'imposta sul valore aggiunto	EN: Terminologie der Mehrwertsteuer
NAS06	Nachhaltigkeit und Erfolgskontrolle im Schutzwald (BAFU)	Terminologie de la gestion durable des forêts de protection (OFEV)	Continuità nel bosco di protezione e controllo dell'efficacia (UFAM)	Sustainable Development and Performance Review in Protection Forests (FOEN)
NAS08	Nachhaltigkeit und Erfolgskontrolle im Schutzwald (BAFU)	Terminologie de la gestion durable des forêts de protection (OFEV)	Continuità nel bosco di protezione e controllo dell'efficacia (UFAM)	Sustainable Development and Performance Review in Protection Forests (FOEN)
NAT02	Terminologie der natürlichen Umwelt (BUWAL)	Terminologie des milieux naturels (OFEFP)	Terminologia dell'ambiente naturale (UFAFP)	Natural environment terminology (SAEFL)
NAV01	Terminologie der schweizerischen Gesetzgebung über die Binnenschifffahrt	Terminologie législative de la navigation intérieure	Terminologia legislativa della navigazione interna	Terminologie der schweizerischen Gesetzgebung über die Binnenschifffahrt
NBB07	Terminologie des &quot;Normenbeirat BAU&quot;	Terminologie du &quot;Normenbeirat BAU&quot;	Terminologia del &quot;Normenbeirat BAU&quot;	Terminology of the &quot;Normenbeirat BAU&quot;
NET05	Glossar TermNet	Glossaire TermNet	Glossario TermNet	TermNet Glossary
NFB14	Terminologie des Neuen Führungsmodells für die Bundesverwaltung	Terminologie du nouveau modèle de gestion de l’administration fédérale	Terminologia del Nuovo Modello di Gestione dell'Amministrazione federale	Terminologie des Neuen Führungsmodells für die Bundesverwaltung
NRM02	Terminologie des Neuen Rechnungsmodells	Terminologie du Nouveau modèle comptable	Terminologia del Nuovo modello contabile	EN: Terminologie des Neuen Rechnungsmodells
NUC11	Terminologie Kernanlagen 	FR: NUC11	Terminologia degli impianti nucleari	EN: NUC11
OAI13	Terminologie OAIS - Referenzmodell für ein Offenes-Archiv-Informationssystem	Terminologie OAIS - Modèle de référence pour un Système ouvert d’archivage d’information	Terminologia OAIS - Modello di riferimento per un sistema informativo aperto per l'archiviazione	OAIS Terminology - Reference Model for an Open Archival Information System
OEREB16	Terminologie des ÖREB-Katasters	Terminologie du cadastre RDPPF	Terminologia del catasto RDPP 	Terminology of the PLR-cadastre
OFR11	Sammlung des Bundesamts für Strassen	Collection de l'Office fédéral des routes	Terminologia dell'Ufficio federale delle strade	Terminology of the Federal Roads Authority 
OHG06	Terminologie der Opferhilfe	Terminologie de l'aide aux victimes d'infractions	Terminologia dell'aiuto alle vittime di reati 	EN: Terminologie der Opferhilfe
OMC97	WTO-Terminologie	Terminologie de l'OMC	Terminologia dell'OMC	WTO terminology
ONU10	Bezeichnung der UNO-Organe 	FR: ONU10	Denominazioni degli organi ONU	EN: ONU10
ORG05	Bezeichnungen schweizerischer und internationaler Organisationen und Institutionen	Noms des organisations et institutions suisses et internationales	Denominazioni delle organizzazioni e istituzioni svizzere e internazionali	Names of Swiss and international organisations 
ORG16	Bezeichnungen schweizerischer und internationaler Organisationen und Institutionen	Noms des organisations et institutions suisses et internationales	Denominazioni delle organizzazioni e istituzioni svizzere e internazionali	Names of Swiss and international organisations
ORG96	Bezeichnungen schweizerischer und internationaler Organisationen und Institutionen	Noms des organisations et institutions suisses et internationales	Denominazioni delle organizzazioni e istituzioni svizzere e internazionali	Names of Swiss and international organisations
ORV03	Terminologie des Obligationenrechts	Terminologie du droit des obligations	Terminologia del diritto delle obbligazioni	Terminology of the Code of Obligations
ORV07	Terminologie des Obligationenrechts	Terminologie du droit des obligations	Terminologia del diritto delle obbligazioni	Terminology of the Code of Obligations
ORV15	Terminologie des Obligationenrechts (aktualisiert)	Terminologie du droit des obligations	Terminologia del diritto delle obbligazioni	Terminology of the Code of Obligations
ORV92	Terminologie des Obligationenrechts	Terminologie du droit des obligations	Terminologia del diritto delle obbligazioni	Terminology of the Code of Obligations
ORVER17	Terminologie des Obligationenrechts (Verträge)	Terminologie du droit des obligations (contrats)	Terminologia del diritto delle obbligazioni (contratti)	Terminology of the Code of Obligations (contracts)
PAI05	Eiskunstlaufglossar des Einzellaufs (Sprünge und Pirouetten)	Glossaire sur le patinage artistique individuel (Sauts et pirouettes)	Glossario sul pattinaggio artistico individuale (Salti e piroette)	Single Figure Skating Glossary (Jumps and Spins)
PAP03	Übersetzungsdatei Nutztiere	Fichier de traduction de production animale	File traduzione animali da reddito	EN: Fichier de traduction de production animale
PARL12	Titel der parlamentarischen Initiativen	Titres des initiatives parlementaires	Titoli delle iniziative parlamentari	Titles of parliamentary initiatives
PARTI17	Politische Parteien der Schweiz	Partis politiques suisses	Partiti politici svizzeri	Swiss political parties
PCI99	Terminologie des Zivilschutzes	Terminologie de la protection civile	Terminologia della protezione civile 	Civil defence terminology
PDA12	Terminologie des Erwachsenenschutzrechts	Terminologie du droit de la protection de l'adulte	Terminologia del diritto di protezione degli adulti	Terminology of the protection of adults
PEN15	Terminologie des schweizerischen Strafrechts	Terminologie du droit pénal suisse	Terminologia del diritto penale svizzero	Terminology of Swiss criminal law
PERS14	Terminologie des Zivilgesetzbuches (Personenrecht) 	Terminologie du Code civil suisse (droit des personnes)	Terminologia del Codice civile svizzero (diritto delle persone)	Swiss Civil Code terminology (Law of Persons)
PFS17	Schweizerische parlamentarische Terminologie	Terminologie parlementaire suisse	Terminologia parlamentare svizzera	Swiss parliamentary terminology
PGG14	Terminologie der Postgesetzgebung 	Terminologie de la législation postale	Terminologia della legislazione postale	Terminology of Postal Services Legislation 
PHB13	Einträge in Bearbeitung (P. Hurni-Bainbridge, Sektion Terminologie der Bundeskanzlei)	Fiches en cours d'élaboration (P. Hurni-Bainbridge, Section de terminologie de la Chancellerie fédérale)	Schede in corso di elaborazione (P. Hurni-Bainbridge, Sezione di terminologia 	 entries in process (P. Hurni-Bainbridge, Terminology Section)
PMA17	Terminologie der Fortpflanzungsmedizin	Terminologie de la procréation médicalement assistée	Terminologia della medicina della procreazione	EN: Terminologie der Fortpflanzungsmedizin
POG14	Geo-politische Benennungen (Staaten)	Dénominations géopolitiques (Etats)	Denominazioni geopolitiche (Stati)	Geo-political denominations (states)
POGCH17	Geo-politische Benennungen (Kantone, Gemeinden)	Dénominations géopolitiques (cantons, communes)	Denominazioni geopolitiche (cantoni, comuni)	Geo-politiscal terms (cantons, communes)
POR01	Terminologie der politischen Rechte	Terminologie des droits politiques	Terminologia dei diritti politici	Terminology of political rights
POR16	Terminologie der politischen Rechte	Terminologie des droits politiques	Terminologia dei diritti politici	Terminology of political rights
PPM12	Terminologie des Militärstrafprozesses	Terminologie  de la procédure pénale militaire	Terminologia  della prodecura penale militare 	Terminology of military criminal procedure
PRO04	Berufsbezeichnungen der amtlichen Statistik 1997	Dénominations des professions de la statistique officielle 1997	Designazioni delle professioni della statistica ufficiale 1997	Names of occupations in the 1997 official statistics
PRO13	Offizielle Berufsbezeichnungen	FR: PRO13	Denominazioni ufficiali delle professioni	EN: PRO13
PRO92	Berufsbezeichnungen	Appellations des professions	Designazioni delle professioni	Names of occupations
PRO98	Berufsbezeichnungen der amtlichen Statistik	Appellations des professions de la statistique officielle	Designazioni delle professioni della statistica ufficiale	Names of occupations in the official statistics
PRP13	Terminologie der öffentlichen Leistungen	Terminologie des services publics	Terminologia dei servizi pubblici	Terminologie der öffentlichen Leistungen
PUBLICA14	PUBLICA-Terminologie 	Terminologie de PUBLICA	Terminologia di PUBLICA	Terminology of PUBLICA
PUG96	Terminologie der Preisüberwachung	Terminologie de la surveillance des prix	Terminologia della sorveglianza dei prezzi	Price supervision terminology
RACHU17	RACHU17	RACHU17	RACHU17	RACHU17
RAU02	Terminologie der Raumplanung (ARE)	Terminologie de l'aménagement du territoire (ARE)	Terminologia della pianificazione del territorio (ARE)	EN: Terminologie der Raumplanung (ARE)
RAUM18	Terminologie der Raumplanung (ETHZ)	Terminologie de l'aménagement du territoire (EPFZ)	Terminologia della pianificazione del territorio (PFZ)	Spatial Planning Terminology (ETHZ)
RCIV15	Terminologie des Haftpflichtrechts	Terminologie de la responsabilité civile	Terminologia della responsabilità civile 	Terminologie des Haftpflichtrechts
REF11	Finanzberichterstattung des Bundes - Bezeichnungen der Rechnungsposten	Rapports sur l'état des finances de la Confédération - Titres des postes budgétaires	Rendiconto finanziario della Confederazione	Financial reporting of the Confederation
RMA11	Einträge in Bearbeitung (R. Maag, Italienische Abteilung der Bundeskanzlei)	Fiches en cours d'élaboration (R. Maag, Division italienne de la Chancellerie fédérale )	Schede in corso di elaborazione (R. Maag, Divisione italiana della Cancelleria federale)	EN: Einträge in Bearbeitung (R. Maag, Italienische Abteilung der Bundeskanzlei)
RMAB15	Ressourcenmanagement Bund	Gestion fédérale des ressources 	Gestion fédérale des ressources 	Gestion fédérale des ressources 
RTV07	Terminologie der Gesetzgebung über Radio und Fernsehen	Terminologie de la législation sur la radio et la télévision	Terminologia della legislazione sulla radiotelevisione	Terminology of the radio and television terminology
RTV92	Terminologie der Gesetzgebung über Radio und Fernsehen	Terminologie de la législation sur la radio et la télévision	Terminologia della legislazione sulla radiotelevisione	Terminology of the radio and television terminology
RTV97	Terminologie der Gesetzgebung über Radio und Fernsehen	Terminologie de la législation sur la radio et la télévision	Terminologia della legislazione sulla radiotelevisione	Terminology of the radio and television terminology
SACH15	Terminologie des Sachenrechts	Terminologie des droits réels	Terminologia dei diritti reali	Terminology of property law
SAP95	Terminologie der Gesetzgebung über die Versicherungsaufsicht und den Versicherungsvertrag	Terminologie législative de la surveillance des assurances et du contrat d'assurance	Terminologia della sorveglianza degli assicuratori e del contratto d'assicurazione	Terminology of the legislation on insurance oversight and insurance contracts
SBB10	Terminologie der SBB	Terminologie des CFF	Terminologia delle FFS	EN: Terminologie der SBB
SCH07	Terminologie der Schengen/Dublin-Abkommen	Terminologie des accords de Schengen et de Dublin	Terminologia degli accordi di Schengen e Dublino; Terminology of the Schengen/Dublin Agreements (DE, FR, IT, IS, NL)	EN: Terminologie der Schengen/Dublin-Abkommen
SCHKG16	Terminologie des Schuldbetreibungs- und Konkursrechts	Terminologie de la poursuite pour dettes et faillite	Terminologia dell'esecuzione e del fallimento	Terminology of Debt Collection and Bankruptcy
SCO06	Übersetzungsdatei Claudio Schott (VBS) IT-DE 	Fiches de Claudio Schott (VBS) IT-DE	Schedario di Claudio Schott (DDPS) IT-DE	Claudio Schott's translation file (DDPS) IT-DE
SEK16	Terminologie des Schweizerischen Evangelischen Kirchenbundes (SEK)	Terminologie de la Fédération des Églises protestantes de Suisse (FEPS)	Terminologie de la Fédération des Églises protestantes de Suisse (FEPS)	Terminologie des Schweizerischen Evangelischen Kirchenbundes (SEK)
SEM15	Terminologie des Projekts &quot;Interprète SEM&quot;	Terminologie du projet &quot;Interprète SEM&quot;	Terminologia del progetto &quot;Interprète SEM&quot;	Terminologie des Projekts &quot;Interprète SEM&quot;
SFA00	Terminologie der Strategischen Führungsausbildung [BK]	Terminologie de la Formation à la conduite stratégique [ChF]	Terminologia della Formazione alla condotta strategica [CaF]	Strategic leadership training terminology [FCh]
SLA06	 Einträge in Bearbeitung  (Steve Lata - Bundeskanzlei)	Fiches en cours d'élaboration (Steve Lata - Chancellerie fédérale)	Schede in corso di elaborazione (Steve Lata - Cancelleria federale)	Working entries (Steve Lata - Federal Chancellery)
SLI03	Terminologie der Italienischen Abteilung (BK)	Terminologie de la Division italienne (ChF)	Terminologia della Divisione italiana (CaF)	Italian Division terminology (FCh)
SMO09	Terminologie des Elektrosmog	Terminologie de l'électrosmog	Terminologia dell'elettrosmog	Electrosmog Terminology
SNU92	Terminologie der Sicherheit von Kernanlagen	Terminologie de la sécurité des installations nucléaires	Terminologia della sicurezza degli impianti nucleari	Nuclear Safety Terminology
SOC16	Terminologie des Gesellschaftsrecht	Terminologie des Gesellschaftsrecht	Terminologie des Gesellschaftsrecht	Terminologie des Gesellschaftsrecht
SOL08	Terminologie des Bodenschutzes (BAFU)	Terminologie de la protection du sol (OFEV)	Terminologia dell'inquinamento del suolo (UFAM)	EN: Terminologie des Bodenschutzes (BAFU)
SPO05	Sportterminologie	Terminologie du sport	Terminologia dello sport	Sport terminology
SPR97	Terminologie des Sprachenrechts	Terminologie du droit des langues	Terminologia del diritto delle lingue	Terminology of the law on languages
SPS17	Einträge in Bearbeitung (S. Spahni, Bundesamt für Verkehr)	Fiches en cours d'élaboration (S. Spahni, Office fédéral des transports)	Schede in corso di elaborazione (S. Spahni, Ufficio federale dei trasporti)	Working entries (S. Spahni, Federal Office of Transport)
SSM01	Terminologie der Eidgenössischen Sportschule Magglingen	Terminologie de l'Ecole fédérale de sport de Macolin	Terminologia della Scuola federale dello sport di Macolin	EN: Terminologie der Eidgenössischen Sportschule Magglingen
SSM07	Terminologie der Eidgenössischen Sportschule Magglingen	Terminologia della Scuola federale dello sport di Macolin	Terminologia della Scuola federale dello sport di Macolin	Terminologie der Eidgenössischen Sportschule Magglingen
SSM08	Terminologie der Eidgenössischen Sportschule Magglingen	Terminologie de l'Ecole fédérale de sport de Macolin	Terminologia della Scuola federale dello sport di Macolin	EN: Terminologie der Eidgenössischen Sportschule Magglingen
SSM14	Terminologie des BASPO	Terminologie de l'OFSPO	Terminologia dell'UFSPO	FOFSPO Terminology
SSM95	Terminologie der Eidgenössischen Sportschule Magglingen	Terminologie de l'Ecole fédérale de sport de Macolin	Terminologia della Scuola federale dello sport di Macolin	EN: Terminologie der Eidgenössischen Sportschule Magglingen
STA03	Terminologie der (Kriminal-)Statistik	Terminologie de la statistique (de la criminalité)	Terminologia della statistica (della criminalità)	Terminology of (Crime) Statistics
STA04	Terminologie der statistischen Erhebungen des Bundes	Terminologie des relevés statistiques fédéraux	Terminologia delle rilevazioni statistiche federali	Terminology of federal statistical surveys
STE07	Terminologie des Schweizerischen Steuersystems	Terminologie du système fiscal suisse	Terminologia del sistema fiscale svizzero	Terminology of the Swiss Tax System
STF99	Terminologie der Störfälle	Terminologie des accidents majeurs	Terminologia degli incidenti rilevanti	Major accidents terminology
STSCH17	Strahlenschutz	Radioprotection	Radioprotezione	Radiation Protection
SUV07	BBT/SUVA-Glossar Softwarelokalisierung	Glossaire de la localisation de logiciels (BBT/SUVA)	Glossario della localizzazione software (BBT/SUVA)	Glossary of software localisation (BBT/SUVA)
SVG98	Terminologie des Strassenverkehrsrechts	Terminologie du droit de la circulation routière	Terminologia del diritto della circolazione stradale	EN: Terminologie des Strassenverkehrsrechts
SVU93	Terminologie des Übereinkommens über den Strassenverkehr	Terminologie de la Convention sur la circulation routière	Terminologia della Convenzione sulla circolazione stradale	Terminology of the Convention on Road Traffic
TAR04	Terminologie der Verfassung des Kantons Appenzell Ausserrhoden 1995	Terminologie de la Constitution du canton d'Appenzell Rhodes-Extérieures 1995	Terminologia della Costituzione del Cantone di Appenzello Esterno 1995	Terminology of the Constitution of the Canton of Appenzell Ausserrhoden 1995
TBE00	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE01	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE02	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE03	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE04	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE05	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE06	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE07	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE08	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE09	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE10	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE11	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE12	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE89	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE90	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE91	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE92	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE93	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE94	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE95	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE96	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
TBE97	Rechts- und Verwaltungsterminologie des Kantons Bern	Terminologie juridique et administrative du Canton de Berne	Terminologia giuridica e amministrativa del Cantone di Berna	Legal and Administrative Terminology of the Canton of Bern
